distribution,true_alpha,trial_id,k,gamma_hat,alpha_hat
"Uniform(0,1)",1.0,17,50,0.9823468021165565,1.0179704335021076
"Uniform(0,1)",1.0,17,75,1.0295277316383293,0.9713191488379428
"Uniform(0,1)",1.0,17,100,1.007125868610659,0.9929245501155787
"Uniform(0,1)",1.0,17,125,1.0371195670132236,0.9642089801466929
"Uniform(0,1)",1.0,17,150,1.052726698230026,0.9499141626039534
"Uniform(0,1)",1.0,17,200,1.0666954549001644,0.9374746985245132
"Uniform(0,1)",1.0,17,250,1.0804979782099486,0.9254991866404888
"Uniform(0,1)",1.0,18,25,1.1353466428665335,0.8807882652254918
"Uniform(0,1)",1.0,18,50,1.1383143991727414,0.8784919181613973
"Uniform(0,1)",1.0,18,75,1.0756255401254131,0.9296915726670124
"Uniform(0,1)",1.0,18,100,1.06079649479346,0.9426878811422758
"Uniform(0,1)",1.0,18,125,1.1061655858696824,0.9040237852037193
"Uniform(0,1)",1.0,18,150,1.0157455170505785,0.9844985611196211
"Uniform(0,1)",1.0,18,200,1.0673964879856772,0.9368589940623998
"Uniform(0,1)",1.0,18,250,1.0115661102552367,0.9885661350869906
"Uniform(0,1)",1.0,19,25,1.142946422505621,0.8749316506085674
"Uniform(0,1)",1.0,19,50,1.2285967717931385,0.813936698320067
"Uniform(0,1)",1.0,19,75,1.203855569572559,0.8306644295835754
"Uniform(0,1)",1.0,19,100,1.140296447147544,0.8769649353038886
"Uniform(0,1)",1.0,19,125,1.0813433144616988,0.9247756809758497
"Uniform(0,1)",1.0,19,150,1.1473881597368896,0.8715446394612547
"Uniform(0,1)",1.0,19,200,1.136401367106629,0.8799707822827438
"Uniform(0,1)",1.0,19,250,1.1121551840544857,0.8991550948442182
"Beta(2,2)",2.0,0,25,0.3636981954443773,2.7495324764484192
"Beta(2,2)",2.0,0,50,0.3818110300318481,2.619096677004294
"Beta(2,2)",2.0,0,75,0.4249840310458547,2.3530295892273245
"Beta(2,2)",2.0,0,100,0.45422019948846315,2.2015753617434606
"Beta(2,2)",2.0,0,125,0.48368951668274957,2.067441955033929
"Beta(2,2)",2.0,0,150,0.4986155412666947,2.0055532113170327
"Beta(2,2)",2.0,0,200,0.511660789168851,1.954419844491922
"Beta(2,2)",2.0,0,250,0.49334663290985925,2.02697238268719
"Beta(2,2)",2.0,1,25,0.42492682491537836,2.3533463678108437
"Beta(2,2)",2.0,1,50,0.5226400562995426,1.9133627205697115
"Beta(2,2)",2.0,1,75,0.5312886601806895,1.8822159683587134
"Beta(2,2)",2.0,1,100,0.5574172212791244,1.7939883480909788
"Beta(2,2)",2.0,1,125,0.5521423620834791,1.811127109006008
"Beta(2,2)",2.0,1,150,0.5316628078639426,1.880891394336369
"Beta(2,2)",2.0,1,200,0.5249593398819227,1.9049094358906475
"Beta(2,2)",2.0,1,250,0.5768495110609243,1.7335543860665323
"Beta(2,2)",2.0,2,25,0.418339454088371,2.390403272335766
"Beta(2,2)",2.0,2,50,0.47661123686554663,2.098146083538737
"Beta(2,2)",2.0,2,75,0.4623958944202656,2.1626489596188176
"Beta(2,2)",2.0,2,100,0.4585978906758806,2.1805595279258747
"Beta(2,2)",2.0,2,125,0.49805848272217257,2.0077963425789513
"Beta(2,2)",2.0,2,150,0.513328526572028,1.948070189431961
"Beta(2,2)",2.0,2,200,0.5248881849747069,1.905167669278339
"Beta(2,2)",2.0,2,250,0.555433917640992,1.800394193151085
"Beta(2,2)",2.0,3,25,0.5575625165843564,1.7935208523808739
"Beta(2,2)",2.0,3,50,0.49752137558580783,2.0099638911444706
"Beta(2,2)",2.0,3,75,0.5436413023602309,1.8394481722755016
"Beta(2,2)",2.0,3,100,0.5652360647473094,1.7691723199705123
"Beta(2,2)",2.0,3,125,0.5555735254918979,1.7999417792894514
"Beta(2,2)",2.0,3,150,0.5373539161882321,1.860970898088152
"Beta(2,2)",2.0,3,200,0.5403324066622492,1.8507126125882722
"Beta(2,2)",2.0,3,250,0.5519976400339871,1.8116019480417143
"Beta(2,2)",2.0,4,25,0.7159570014540997,1.3967319238013072
"Beta(2,2)",2.0,4,50,0.5640014405068251,1.7730451168730637
"Beta(2,2)",2.0,4,75,0.5630925825024313,1.7759068953739632
"Beta(2,2)",2.0,4,100,0.544516265050316,1.8364924322464362
"Beta(2,2)",2.0,4,125,0.5615319007218859,1.7808427245441174
"Beta(2,2)",2.0,4,150,0.5636314243938338,1.7742090960869783
"Beta(2,2)",2.0,4,200,0.5528720926884222,1.8087366195992138
"Beta(2,2)",2.0,4,250,0.5582413772936173,1.7913398051001719
"Beta(2,2)",2.0,5,25,0.4555469832626453,2.1951632581077827
"Beta(2,2)",2.0,5,50,0.5351024512271058,1.8688010075580546
"Beta(2,2)",2.0,5,75,0.5260469669482541,1.90097094523951
"Beta(2,2)",2.0,5,100,0.5533543218843728,1.8071603680524915
"Beta(2,2)",2.0,5,125,0.5447025445416095,1.8358643814332514
"Beta(2,2)",2.0,5,150,0.5497346430306288,1.8190594547345715
"Beta(2,2)",2.0,5,200,0.582683598784998,1.716197267410964
"Beta(2,2)",2.0,5,250,0.577717001622714,1.730951308670441
"Beta(2,2)",2.0,6,25,0.44887836526674674,2.2277749995942626
"Beta(2,2)",2.0,6,50,0.5147747079256625,1.9425973821239249
"Beta(2,2)",2.0,6,75,0.5802179327904162,1.7234903361065463
"Beta(2,2)",2.0,6,100,0.59558089813203,1.6790330299987515
"Beta(2,2)",2.0,6,125,0.5904535672891964,1.6936132752843767
"Beta(2,2)",2.0,6,150,0.5725392951394381,1.746605007707736
"Beta(2,2)",2.0,6,200,0.5583386007646165,1.7910278791947225
"Beta(2,2)",2.0,6,250,0.5475378726239433,1.8263576822690657
"Beta(2,2)",2.0,7,25,0.40539477446558975,2.4667313517256027
"Beta(2,2)",2.0,7,50,0.4392298492680169,2.2767122991903097
"Beta(2,2)",2.0,7,75,0.45560461430790655,2.1948855841134662
"Beta(2,2)",2.0,7,100,0.4794528069349532,2.0857110137550388
"Beta(2,2)",2.0,7,125,0.47382733155934387,2.110473443372391
"Beta(2,2)",2.0,7,150,0.47549263192901264,2.103082009795038
"Beta(2,2)",2.0,7,200,0.5001429463464249,1.999428378036843
"Beta(2,2)",2.0,7,250,0.526115024593174,1.9007250377866785
"Beta(2,2)",2.0,8,25,0.4767418673463118,2.09757117738851
"Beta(2,2)",2.0,8,50,0.5277007513653174,1.8950134094232485
"Beta(2,2)",2.0,8,75,0.6328903619860217,1.580052502082638
"Beta(2,2)",2.0,8,100,0.5936580231645012,1.6844714650186785
"Beta(2,2)",2.0,8,125,0.5757563426826945,1.7368458249900873
"Beta(2,2)",2.0,8,150,0.5860109158527487,1.706452854286553
"Beta(2,2)",2.0,8,200,0.5915981417758137,1.690336614307606
"Beta(2,2)",2.0,8,250,0.5904821170885188,1.693531389114178
"Beta(2,2)",2.0,9,25,0.44719796395747335,2.2361461379441696
"Beta(2,2)",2.0,9,50,0.5097245375901401,1.961843949533544
